number,categoryId
1,live
2,performance
3,attract
4,lecture
5,dance
6,game
7,goods
8,exhibition
9,theater
10,food
10,fried
11,food
11,meat
11,flour
12,food
12,sweets
13,food
13,meat
14,food
14,drink
15,food
15,bread
15,meat
16,food
16,meat
16,soup
17,food
17,noodle
18,food
18,meat
18,steak
19,food
19,fried
19,potato
20,food
20,sweets
20,churro
21,food
21,drink
21,tapioca
22,food
23,noodle
22,yakisoba
23,food
23,meat
23,frank
24,food
24,drink
24,sweets
24,cafe
25,food
25,meat
25,skewers
26,food
26,meat
26,gyoza
27,food
27,meat
27,fried
27,foreign
